movieId,title,cluster_no
1,Toy Story,12
2,Jumanji,4
3,Grumpier Old Men,5
4,Waiting to Exhale,10
5,Father of the Bride Part II,1
6,Heat,9
7,Sabrina,5
8,Tom and Huck,4
9,Sudden Death,7
10,GoldenEye,2
11,"American President, The",10
12,Dracula: Dead and Loving It,1
13,Balto,4
14,Nixon,0
15,Cutthroat Island,14
16,Casino,6
17,Sense and Sensibility,13
18,Four Rooms,1
19,Ace Ventura: When Nature Calls,1
20,Money Train,9
21,Get Shorty,6
22,Copycat,6
23,Assassins,9
24,Powder,0
25,Leaving Las Vegas,13
26,Othello,0
27,Now and Then,0
28,Persuasion,13
29,"City of Lost Children, The (Cité des enfants perdus, La)",4
30,Shanghai Triad (Yao a yao yao dao waipo qiao),6
31,Dangerous Minds,0
32,Twelve Monkeys (a.k.a. 12 Monkeys),8
34,Babe,0
36,Dead Man Walking,6
38,It Takes Two,1
39,Clueless,5
40,"Cry, the Beloved Country",0
41,Richard III,0
42,Dead Presidents,9
43,Restoration,0
44,Mortal Kombat,14
45,To Die For,16
46,How to Make an American Quilt,13
47,Seven (a.k.a. Se7en),3
48,Pocahontas,13
49,When Night Is Falling,13
50,"Usual Suspects, The",6
52,Mighty Aphrodite,10
53,Lamerica,0
54,"Big Green, The",1
55,Georgia,0
57,Home for the Holidays,0
58,"Postman, The (Postino, Il)",10
60,"Indian in the Cupboard, The",4
61,Eye for an Eye,15
62,Mr. Holland's Opus,0
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1
64,Two if by Sea,5
65,Bio-Dome,1
66,Lawnmower Man 2: Beyond Cyberspace,2
68,French Twist (Gazon maudit),5
69,Friday,1
70,From Dusk Till Dawn,3
71,Fair Game,7
72,Kicking and Screaming,16
73,"Misérables, Les",0
74,Bed of Roses,13
75,Big Bully,16
76,Screamers,2
77,Nico Icon,11
78,"Crossing Guard, The",9
79,"Juror, The",15
80,"White Balloon, The (Badkonake sefid)",0
81,Things to Do in Denver When You're Dead,13
82,Antonia's Line (Antonia),16
83,Once Upon a Time... When We Were Colored,13
85,Angels and Insects,13
86,White Squall,14
87,Dunston Checks In,1
88,Black Sheep,1
89,Nick of Time,2
92,Mary Reilly,15
93,Vampire in Brooklyn,5
94,Beautiful Girls,10
95,Broken Arrow,2
96,In the Bleak Midwinter,16
97,"Hate (Haine, La)",6
99,Heidi Fleiss: Hollywood Madam,11
100,City Hall,15
101,Bottle Rocket,5
102,Mr. Wrong,1
103,Unforgettable,8
104,Happy Gilmore,1
105,"Bridges of Madison County, The",13
106,Nobody Loves Me (Keiner liebt mich),16
107,Muppet Treasure Island,12
108,Catwalk,11
110,Braveheart,0
111,Taxi Driver,6
112,Rumble in the Bronx (Hont faan kui),14
113,Before and After,0
116,Anne Frank Remembered,11
117,"Young Poisoner's Handbook, The",6
118,If Lucy Fell,5
119,"Steal Big, Steal Little",1
121,"Boys of St. Vincent, The",0
122,Boomerang,5
123,Chungking Express (Chung Hing sam lam),13
125,Flirting With Disaster,1
126,"NeverEnding Story III, The",4
128,Jupiter's Wife,11
129,Pie in the Sky,5
132,Jade,3
135,Down Periscope,1
137,Man of the Year,11
140,Up Close and Personal,13
141,"Birdcage, The",1
