movieid,title,cluster_no
1,Toy Story,17
2,Jumanji,4
3,Grumpier Old Men,11
4,Waiting to Exhale,10
5,Father of the Bride Part II,7
6,Heat,16
7,Sabrina,11
8,Tom and Huck,4
9,Sudden Death,14
10,GoldenEye,3
11,"American President, The",10
12,Dracula: Dead and Loving It,7
13,Balto,4
14,Nixon,0
15,Cutthroat Island,3
16,Casino,9
17,Sense and Sensibility,12
18,Four Rooms,7
19,Ace Ventura: When Nature Calls,7
20,Money Train,16
21,Get Shorty,5
22,Copycat,9
23,Assassins,16
24,Powder,0
25,Leaving Las Vegas,12
26,Othello,0
27,Now and Then,0
28,Persuasion,12
29,"City of Lost Children, The (Cité des enfants perdus, La)",13
30,Shanghai Triad (Yao a yao yao dao waipo qiao),9
31,Dangerous Minds,0
32,Twelve Monkeys (a.k.a. 12 Monkeys),15
34,Babe,0
36,Dead Man Walking,9
38,It Takes Two,7
39,Clueless,11
40,"Cry, the Beloved Country",0
41,Richard III,0
42,Dead Presidents,16
43,Restoration,0
44,Mortal Kombat,3
45,To Die For,1
46,How to Make an American Quilt,12
47,Seven (a.k.a. Se7en),5
48,Pocahontas,12
49,When Night Is Falling,12
50,"Usual Suspects, The",5
52,Mighty Aphrodite,10
53,Lamerica,0
54,"Big Green, The",7
55,Georgia,0
57,Home for the Holidays,0
58,"Postman, The (Postino, Il)",10
60,"Indian in the Cupboard, The",4
61,Eye for an Eye,6
62,Mr. Holland's Opus,0
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,7
64,Two if by Sea,11
65,Bio-Dome,7
66,Lawnmower Man 2: Beyond Cyberspace,14
68,French Twist (Gazon maudit),11
69,Friday,7
70,From Dusk Till Dawn,2
71,Fair Game,14
72,Kicking and Screaming,1
73,"Misérables, Les",0
74,Bed of Roses,12
75,Big Bully,1
76,Screamers,14
77,Nico Icon,8
78,"Crossing Guard, The",16
79,"Juror, The",6
80,"White Balloon, The (Badkonake sefid)",0
81,Things to Do in Denver When You're Dead,12
82,Antonia's Line (Antonia),1
83,Once Upon a Time... When We Were Colored,12
85,Angels and Insects,12
86,White Squall,3
87,Dunston Checks In,7
88,Black Sheep,7
89,Nick of Time,14
92,Mary Reilly,6
93,Vampire in Brooklyn,11
94,Beautiful Girls,10
95,Broken Arrow,3
96,In the Bleak Midwinter,1
97,"Hate (Haine, La)",9
99,Heidi Fleiss: Hollywood Madam,8
100,City Hall,6
101,Bottle Rocket,11
102,Mr. Wrong,7
103,Unforgettable,15
104,Happy Gilmore,7
105,"Bridges of Madison County, The",12
106,Nobody Loves Me (Keiner liebt mich),1
107,Muppet Treasure Island,17
108,Catwalk,8
110,Braveheart,0
111,Taxi Driver,9
112,Rumble in the Bronx (Hont faan kui),3
113,Before and After,0
116,Anne Frank Remembered,8
117,"Young Poisoner's Handbook, The",9
118,If Lucy Fell,11
119,"Steal Big, Steal Little",7
121,"Boys of St. Vincent, The",0
122,Boomerang,11
123,Chungking Express (Chung Hing sam lam),12
125,Flirting With Disaster,7
126,"NeverEnding Story III, The",4
128,Jupiter's Wife,8
129,Pie in the Sky,11
132,Jade,5
135,Down Periscope,7
137,Man of the Year,8
140,Up Close and Personal,12
141,"Birdcage, The",7
144,"Brothers McMullen, The",7
145,Bad Boys,16
146,"Amazing Panda Adventure, The",4
147,"Basketball Diaries, The",0
148,"Awfully Big Adventure, An",0
149,Amateur,9
150,Apollo 13,0
151,Rob Roy,12
152,"Addiction, The",0
153,Batman Forever,3
154,Beauty of the Day (Belle de jour),0
155,Beyond Rangoon,0
156,Blue in the Face,1
157,Canadian Bacon,7
158,Casper,4
159,Clockers,9
160,Congo,13
161,Crimson Tide,6
162,Crumb,8
163,Desperado,14
164,Devil in a Blue Dress,5
165,Die Hard: With a Vengeance,16
166,"Doom Generation, The",1
168,First Knight,12
169,Free Willy 2: The Adventure Home,4
170,Hackers,16
171,Jeffrey,1
172,Johnny Mnemonic,14
173,Judge Dredd,16
174,Jury Duty,7
175,Kids,0
176,Living in Oblivion,7
177,Lord of Illusions,2
178,Love & Human Remains,1
179,Mad Love,12
180,Mallrats,11
181,Mighty Morphin Power Rangers: The Movie,14
183,Mute Witness,2
184,Nadja,0
185,"Net, The",16
186,Nine Months,11
187,Party Girl,7
188,"Prophecy, The",2
189,Reckless,7
190,Safe,5
191,"Scarlet Letter, The",12
193,Showgirls,0
194,Smoke,1
195,Something to Talk About,10
196,Species,15
198,Strange Days,16
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",12
201,Three Wishes,0
202,Total Eclipse,12
203,"To Wong Foo, Thanks for Everything! Julie Newmar",7
204,Under Siege 2: Dark Territory,14
205,Unstrung Heroes,1
206,Unzipped,8
207,"Walk in the Clouds, A",12
208,Waterworld,13
209,White Man's Burden,0
210,Wild Bill,8
211,"Browning Version, The",0
212,Bushwhacked,7
213,Burnt by the Sun (Utomlyonnye solntsem),0
214,Before the Rain (Pred dozhdot),0
215,Before Sunrise,12
216,Billy Madison,7
217,"Babysitter, The",6
218,Boys on the Side,1
219,"Cure, The",0
220,Castle Freak,2
222,Circle of Friends,12
223,Clerks,7
224,Don Juan DeMarco,10
225,Disclosure,6
227,Drop Zone,14
228,Destiny Turns on the Radio,7
229,Death and the Maiden,6
230,Dolores Claiborne,6
231,Dumb & Dumber (Dumb and Dumber),7
232,Eat Drink Man Woman (Yin shi nan nu),10
233,Exotica,0
234,Exit to Eden,7
235,Ed Wood,1
236,French Kiss,11
237,Forget Paris,11
238,Far From Home: The Adventures of Yellow Dog,4
239,"Goofy Movie, A",17
240,Hideaway,5
241,Fluke,0
242,Farinelli: il castrato,0
243,Gordy,17
246,Hoop Dreams,8
247,Heavenly Creatures,9
248,Houseguest,7
249,Immortal Beloved,12
250,Heavyweights (Heavy Weights),7
251,"Hunted, The",14
252,I.Q.,11
253,Interview with the Vampire: The Vampire Chronicles,0
254,Jefferson in Paris,0
255,"Jerky Boys, The",7
256,Junior,7
257,Just Cause,5
258,"Kid in King Arthur's Court, A",17
259,Kiss of Death,9
260,Star Wars: Episode IV - A New Hope,13
261,Little Women,0
262,"Little Princess, A",0
263,Ladybird Ladybird,0
265,Like Water for Chocolate (Como agua para chocolate),12
266,Legends of the Fall,12
267,Major Payne,7
269,My Crazy Life (Mi vida loca),0
270,Love Affair,12
271,Losing Isaiah,0
272,"Madness of King George, The",1
273,Mary Shelley's Frankenstein (Frankenstein),15
274,Man of the House,7
275,Mixed Nuts,7
276,Milk Money,11
277,Miracle on 34th Street,0
278,Miami Rhapsody,7
279,My Family,0
280,Murder in the First,6
281,Nobody's Fool,10
282,Nell,0
283,New Jersey Drive,9
284,New York Cop (Nyû Yôku no koppu),16
285,Beyond Bedlam,0
287,Nina Takes a Lover,11
288,Natural Born Killers,16
289,Only You,11
290,Once Were Warriors,9
291,Poison Ivy II,6
292,Outbreak,14
293,Léon: The Professional (a.k.a. The Professional) (Léon),16
294,"Perez Family, The",11
295,"Pyromaniac's Love Story, A",11
296,Pulp Fiction,9
298,Pushing Hands (Tui shou),0
299,Priest,0
300,Quiz Show,0
301,Picture Bride (Bijo photo),12
302,"Queen Margot (Reine Margot, La)",12
303,"Quick and the Dead, The",14
304,Roommates,1
305,Ready to Wear (Pret-A-Porter),7
306,Three Colors: Red (Trois couleurs: Rouge),0
307,Three Colors: Blue (Trois couleurs: Bleu),0
308,Three Colors: White (Trzy kolory: Bialy),1
310,Rent-a-Kid,7
311,Relative Fear,2
312,Stuart Saves His Family,7
313,"Swan Princess, The",4
314,"Secret of Roan Inish, The",4
315,"Specialist, The",6
316,Stargate,13
317,"Santa Clause, The",1
318,"Shawshank Redemption, The",9
319,Shallow Grave,1
320,Suture,5
321,Strawberry and Chocolate (Fresa y chocolate),0
322,Swimming with Sharks,1
324,"Sum of Us, The",1
325,National Lampoon's Senior Trip,7
326,To Live (Huozhe),0
327,Tank Girl,14
328,Tales from the Crypt Presents: Demon Knight,2
329,Star Trek: Generations,13
330,Tales from the Hood,16
331,Tom & Viv,0
332,Village of the Damned,15
333,Tommy Boy,7
334,Vanya on 42nd Street,0
335,Underneath,5
336,"Walking Dead, The",0
337,What's Eating Gilbert Grape,0
338,Virtuosity,14
339,While You Were Sleeping,11
340,"War, The",0
341,Double Happiness,0
342,Muriel's Wedding,7
343,"Baby-Sitters Club, The",8
344,Ace Ventura: Pet Detective,7
345,"Adventures of Priscilla, Queen of the Desert, The",1
346,Backbeat,0
347,Bitter Moon,12
348,Bullets Over Broadway,7
349,Clear and Present Danger,16
350,"Client, The",6
351,"Corrina, Corrina",10
352,Crooklyn,1
353,"Crow, The",16
354,Cobb,0
355,"Flintstones, The",17
356,Forrest Gump,10
357,Four Weddings and a Funeral,11
358,Higher Learning,0
359,I Like It Like That,10
360,I Love Trouble,7
361,It Could Happen to You,10
362,"Jungle Book, The",4
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die)",8
364,"Lion King, The",4
365,Little Buddha,0
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)",6
367,"Mask, The",16
368,Maverick,7
369,Mrs. Parker and the Vicious Circle,0
370,Naked Gun 33 1/3: The Final Insult,7
371,"Paper, The",1
372,Reality Bites,10
373,Red Rock West,5
374,Richie Rich,7
376,"River Wild, The",14
377,Speed,14
378,Speechless,11
379,Timecop,14
380,True Lies,3
381,When a Man Loves a Woman,12
382,Wolf,6
383,Wyatt Earp,8
384,Bad Company,16
385,"Man of No Importance, A",0
386,S.F.W.,0
387,"Low Down Dirty Shame, A",7
388,Boys Life,0
389,"Colonel Chabert, Le",12
390,Faster Pussycat! Kill! Kill!,16
391,Jason's Lyric,9
393,Street Fighter,3
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension),14
406,Federal Hill,0
407,In the Mouth of Madness,2
408,8 Seconds,0
409,Above the Rim,9
410,Addams Family Values,17
412,"Age of Innocence, The",0
413,Airheads,7
414,"Air Up There, The",7
415,Another Stakeout,7
416,Bad Girls,8
417,Barcelona,11
418,Being Human,0
419,"Beverly Hillbillies, The",7
420,Beverly Hills Cop III,16
421,Black Beauty,4
422,Blink,5
423,Blown Away,14
424,Blue Chips,0
425,Blue Sky,12
426,Body Snatchers,15
427,Boxing Helena,6
428,"Bronx Tale, A",0
429,Cabin Boy,7
430,Calendar Girl,1
431,Carlito's Way,9
432,City Slickers II: The Legend of Curly's Gold,7
433,Clean Slate,7
434,Cliffhanger,3
435,Coneheads,7
436,Color of Night,6
437,Cops and Robbersons,7
438,"Cowboy Way, The",1
440,Dave,11
441,Dazed and Confused,7
442,Demolition Man,13
444,Even Cowgirls Get the Blues,11
445,Fatal Instinct,7
446,Farewell My Concubine (Ba wang bie ji),12
448,Fearless,0
449,Fear of a Black Hat,7
450,With Honors,1
451,Flesh and Bone,12
452,Widows' Peak,0
453,For Love or Money,11
454,"Firm, The",6
455,Free Willy,4
456,Fresh,9
457,"Fugitive, The",5
458,Geronimo: An American Legend,0
459,"Getaway, The",16
460,Getting Even with Dad,7
461,Go Fish,12
464,Hard Target,16
466,Hot Shots! Part Deux,7
467,Live Nude Girls,7
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The",11
469,"House of the Spirits, The",12
470,House Party 3,7
471,"Hudsucker Proxy, The",7
472,I'll Do Anything,1
473,In the Army Now,7
474,In the Line of Fire,14
475,In the Name of the Father,0
476,"Inkwell, The",1
477,What's Love Got to Do with It?,0
478,Jimmy Hollywood,1
479,Judgment Night,16
480,Jurassic Park,13
481,Kalifornia,6
482,Killing Zoe,9
484,Lassie,4
485,Last Action Hero,3
486,Life with Mikey,7
487,Lightning Jack,7
488,M. Butterfly,12
489,Made in America,7
490,Malice,5
491,"Man Without a Face, The",0
492,Manhattan Murder Mystery,7
493,Menace II Society,16
494,Executive Decision,3
495,In the Realm of the Senses (Ai no corrida),0
496,What Happened Was...,10
497,Much Ado About Nothing,11
499,Mr. Wonderful,11
500,Mrs. Doubtfire,1
501,Naked,0
502,"Next Karate Kid, The",14
504,No Escape,14
505,North,7
506,Orlando,12
507,"Perfect World, A",9
508,Philadelphia,0
509,"Piano, The",12
510,Poetic Justice,0
511,"Program, The",0
512,"Puppet Masters, The",15
513,Radioland Murders,11
514,"Ref, The",7
515,"Remains of the Day, The",12
516,Renaissance Man,1
517,Rising Sun,0
518,"Road to Wellville, The",7
519,RoboCop 3,16
520,Robin Hood: Men in Tights,7
521,Romeo Is Bleeding,5
522,Romper Stomper,0
523,Ruby in Paradise,0
524,Rudy,0
526,"Savage Nights (Nuits fauves, Les)",0
527,Schindler's List,0
528,"Scout, The",1
529,Searching for Bobby Fischer,0
531,"Secret Garden, The",0
532,Serial Mom,7
533,"Shadow, The",3
534,Shadowlands,12
535,Short Cuts,0
536,"Simple Twist of Fate, A",0
537,Sirens,0
538,Six Degrees of Separation,0
539,Sleepless in Seattle,10
540,Sliver,5
541,Blade Runner,14
542,Son in Law,10
543,So I Married an Axe Murderer,11
544,Striking Distance,16
546,Super Mario Bros.,17
547,Surviving the Game,3
548,Terminal Velocity,14
549,Thirty-Two Short Films About Glenn Gould,0
550,Threesome,11
551,"Nightmare Before Christmas, The",4
552,"Three Musketeers, The",3
553,Tombstone,0
555,True Romance,5
556,"War Room, The",8
558,"Pagemaster, The",4
562,Welcome to the Dollhouse,1
563,Germinal,12
564,Chasers,7
567,Kika,1
568,Bhaji on the Beach,1
569,Little Big League,1
573,"Ciao, Professore! (Io speriamo che me la cavo)",0
574,Spanking the Monkey,1
575,"Little Rascals, The",7
577,Andre,4
579,"Escort, The (Scorta, La)",5
580,Princess Caraboo,0
581,"Celluloid Closet, The",8
583,Dear Diary (Caro Diario),1
585,"Brady Bunch Movie, The",7
586,Home Alone,7
587,Ghost,10
588,Aladdin,17
589,Terminator 2: Judgment Day,14
590,Dances with Wolves,0
592,Batman,16
593,"Silence of the Lambs, The",5
594,Snow White and the Seven Dwarfs,4
595,Beauty and the Beast,4
596,Pinocchio,4
597,Pretty Woman,11
599,"Wild Bunch, The",8
600,Love and a .45,16
602,"Great Day in Harlem, A",8
605,One Fine Day,12
606,Candyman: Farewell to the Flesh,2
608,Fargo,9
609,Homeward Bound II: Lost in San Francisco,4
610,Heavy Metal,13
611,Hellraiser: Bloodline,15
612,"Pallbearer, The",7
613,Jane Eyre,12
615,Bread and Chocolate (Pane e cioccolata),1
616,"Aristocats, The",4
617,"Flower of My Secret, The (La flor de mi secreto)",1
618,Two Much,11
619,Ed,7
626,"Thin Line Between Love and Hate, A",7
627,"Last Supper, The",6
628,Primal Fear,9
631,All Dogs Go to Heaven 2,4
632,Land and Freedom (Tierra y libertad),0
633,Denise Calls Up,7
634,Theodore Rex,7
635,"Family Thing, A",1
636,Frisk,0
637,Sgt. Bilko,7
638,Jack and Sarah,12
639,Girl 6,1
640,Diabolique,6
645,Nelly & Monsieur Arnaud,0
647,Courage Under Fire,16
648,Mission: Impossible,3
649,Cold Fever (Á köldum klaka),1
650,Moll Flanders,0
653,Dragonheart,3
656,Eddie,7
661,James and the Giant Peach,4
662,Fear,5
663,Kids in the Hall: Brain Candy,7
665,Underground,1
667,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite),14
668,Song of the Little Road (Pather Panchali),0
670,"World of Apu, The (Apur Sansar)",0
671,Mystery Science Theater 3000: The Movie,7
673,Space Jam,17
674,Barbarella,13
678,Some Folks Call It a Sling Blade,6
679,"Run of the Country, The",0
680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution)",6
685,It's My Party,0
688,Operation Dumbo Drop,3
691,Mrs. Winterbourne,11
692,Solo,14
694,"Substitute, The",16
695,True Crime,5
697,Feeling Minnesota,12
698,Delta of Venus,0
700,Angus,7
703,Boys,0
704,"Quest, The",3
706,Sunset Park,0
707,Mulholland Falls,9
708,"Truth About Cats & Dogs, The",11
709,Oliver & Company,17
710,Celtic Pride,7
711,Flipper,4
714,Dead Man,0
715,"Horseman on the Roof, The (Hussard sur le toit, Le)",12
718,"Visitors, The (Visiteurs, Les)",7
719,Multiplicity,7
720,Wallace & Gromit: The Best of Aardman Animation,17
722,"Haunted World of Edward D. Wood Jr., The",8
724,"Craft, The",6
725,"Great White Hype, The",7
726,Last Dance,0
728,Cold Comfort Farm,7
731,Heaven's Prisoners,5
733,"Rock, The",3
735,Cemetery Man (Dellamorte Dellamore),2
736,Twister,3
737,Barb Wire,14
741,Ghost in the Shell (Kôkaku kidôtai),15
742,Thinner,2
743,Spy Hard,7
745,Wallace & Gromit: A Close Shave,17
747,"Stupids, The",7
748,"Arrival, The",14
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,7
757,Ashes of Time (Dung che sai duk),0
759,Maya Lin: A Strong Clear Vision,8
760,Stalingrad,0
761,"Phantom, The",3
762,Striptease,7
764,Heavy,12
765,Jack,1
766,I Shot Andy Warhol,0
773,Touki Bouki,0
775,Spirits of the Dead,2
778,Trainspotting,1
779,'Til There Was You,12
780,Independence Day (a.k.a. ID4),13
781,Stealing Beauty,0
782,"Fan, The",6
783,"Hunchback of Notre Dame, The",12
784,"Cable Guy, The",7
785,Kingpin,7
786,Eraser,6
788,"Nutty Professor, The",11
790,"Unforgettable Summer, An (Un été inoubliable)",0
791,"Last Klezmer: Leopold Kozlowski, His Life and Music, The",8
795,Somebody to Love,0
798,Daylight,3
799,"Frighteners, The",2
